,idx_session,idx_pi,idx_start,idx_stop,stop_session,base_iterations,quite,iteration,pi,start,stop,method,jobs
3,12,13,14,15,-1,400000,True,24000000,3.141592612606056,1679982492.9159174,1679982501.6493616,<class 'multiprocessing.context.Process'>,30
4,16,17,18,19,-1,500000,True,25500000,3.1415926151281632,1679982492.96168,1679982501.5505588,<class 'multiprocessing.context.Process'>,30
5,20,21,22,23,-1,600000,True,16800000,3.1415925961185476,1679982492.8891642,1679982501.5793016,<class 'multiprocessing.context.Process'>,30
6,24,25,26,27,-1,700000,True,15400000,3.141592591478048,1679982492.9772217,1679982501.2784886,<class 'multiprocessing.context.Process'>,30
7,28,29,30,31,-1,800000,True,28000000,3.1415926188676875,1679982493.2562988,1679982501.594476,<class 'multiprocessing.context.Process'>,30
8,32,33,34,35,-1,900000,True,27900000,3.1415926188676875,1679982492.9798129,1679982501.6343246,<class 'multiprocessing.context.Process'>,30
9,36,37,38,39,-1,1000000,True,33000000,3.141592624178705,1679982493.0462487,1679982501.6828613,<class 'multiprocessing.context.Process'>,30
10,40,41,42,43,-1,1100000,True,35200000,3.1415926260420513,1679982493.4632757,1679982501.6448905,<class 'multiprocessing.context.Process'>,30
11,44,45,46,47,-1,1200000,True,22800000,3.1415926119229836,1679982492.8906834,1679982501.6158109,<class 'multiprocessing.context.Process'>,30
12,48,49,50,51,-1,1300000,True,26000000,3.1415926169595916,1679982493.0044448,1679982501.4218485,<class 'multiprocessing.context.Process'>,30
13,52,53,54,55,-1,1400000,True,26600000,3.141592617875361,1679982492.9963117,1679982501.5566177,<class 'multiprocessing.context.Process'>,30
14,56,57,58,59,-1,1500000,True,37500000,3.1415926279494286,1679982493.1013327,1679982501.6478598,<class 'multiprocessing.context.Process'>,30
15,60,61,62,63,-1,1600000,True,19200000,3.1415926055128507,1679982493.0299628,1679982501.2380683,<class 'multiprocessing.context.Process'>,30
