,idx_session,idx_pi,idx_start,idx_stop,stop_session,base_iterations,quite,iteration,pi,start,stop,method
7,28,29,30,31,-1,800000,True,12800000,3.141592580060558,1679974321.149043,1679974332.1036427,<class 'threading.Thread'>
8,32,33,34,35,-1,900000,True,13500000,3.1415925841454104,1679974321.31809,1679974332.0215194,<class 'threading.Thread'>
9,36,37,38,39,-1,1000000,True,11000000,3.1415925702567287,1679974321.897184,1679974331.7692623,<class 'threading.Thread'>
0,0,1,2,3,-1,100000,True,19600000,3.141592602828246,1679974338.426767,1679974350.9685066,<class 'threading.Thread'>
1,4,5,6,7,-1,200000,True,21800000,3.1415926081351744,1679974338.4503152,1679974350.8139071,<class 'threading.Thread'>
2,8,9,10,11,-1,300000,True,14100000,3.1415925841454104,1679974338.5411663,1679974350.3903365,<class 'threading.Thread'>
3,12,13,14,15,-1,400000,True,17600000,3.1415925980342303,1679974338.7221842,1679974350.876287,<class 'threading.Thread'>
4,16,17,18,19,-1,500000,True,16000000,3.1415925929838098,1679974338.8903384,1679974350.8917243,<class 'threading.Thread'>
5,20,21,22,23,-1,600000,True,17400000,3.1415925980342303,1679974338.9964554,1679974350.9435203,<class 'threading.Thread'>
6,24,25,26,27,-1,700000,True,13300000,3.1415925821613606,1679974339.3166175,1679974350.7906554,<class 'threading.Thread'>
7,28,29,30,31,-1,800000,True,16000000,3.141592594065986,1679974339.4678285,1679974350.4455528,<class 'threading.Thread'>
8,32,33,34,35,-1,900000,True,14400000,3.1415925882304,1679974339.6508737,1679974350.2845712,<class 'threading.Thread'>
9,36,37,38,39,-1,1000000,True,12000000,3.141592576666792,1679974340.1373556,1679974350.93844,<class 'threading.Thread'>
0,0,1,2,3,-1,100000,True,30100000,3.1415926204773905,1679974678.944746,1679974689.794402,<class 'threading.Thread'>
1,4,5,6,7,-1,200000,True,25400000,3.1415926145272524,1679974678.9647,1679974689.7759695,<class 'threading.Thread'>
2,8,9,10,11,-1,300000,True,34500000,3.141592624854688,1679974679.0405278,1679974689.6776657,<class 'threading.Thread'>
3,12,13,14,15,-1,400000,True,28800000,3.1415926193433688,1679974679.2536583,1679974689.7197628,<class 'threading.Thread'>
4,16,17,18,19,-1,500000,True,28000000,3.14159261850193,1679974679.3442588,1679974689.7447145,<class 'threading.Thread'>
0,0,1,2,3,-1,100000,True,30500000,3.141592620910304,1679974696.3451214,1679974706.9598515,<class 'threading.Thread'>
1,4,5,6,7,-1,200000,True,28800000,3.141592619107177,1679974696.3769286,1679974706.9787953,<class 'threading.Thread'>
2,8,9,10,11,-1,300000,True,27000000,3.141592616959592,1679974696.407269,1679974706.9280217,<class 'threading.Thread'>
3,12,13,14,15,-1,400000,True,30800000,3.141592621538854,1679974696.4538038,1679974706.8121848,<class 'threading.Thread'>
4,16,17,18,19,-1,500000,True,27500000,3.141592617875361,1679974696.681564,1679974706.912883,<class 'threading.Thread'>
0,0,1,2,3,-1,100000,True,117100000,3.1415926450568783,1679974713.9471326,1679974723.539122,<class 'multiprocessing.context.Process'>
1,4,5,6,7,-1,200000,True,117600000,3.1415926451003333,1679974713.9471326,1679974723.531122,<class 'multiprocessing.context.Process'>
2,8,9,10,11,-1,300000,True,117000000,3.141592645064164,1679974713.9569595,1679974723.531122,<class 'multiprocessing.context.Process'>
3,12,13,14,15,-1,400000,True,116800000,3.1415926450568783,1679974713.9559605,1679974723.5257735,<class 'multiprocessing.context.Process'>
4,16,17,18,19,-1,500000,True,117000000,3.141592645078676,1679974713.9569595,1679974723.5113528,<class 'multiprocessing.context.Process'>
